Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Logo
BioCatch,2014,New York,"Benny Rosenbaum (CEO), Uri Rivner (VP Bus. Dev. & Cyber Strategy & Co-Founder), Avi Turgeman (CTO & Founder), Len Crosson (VP Sales), Ronny Lehmann (VP R&D), Oren Kedem (VP Product Marketing), Richard Perry (VP Sales EMEA)","David Assia (Founder, Magic Software Enterprises), Felix Zilberstein (CEO, Janvest), Benny Rosenbaum (CEO, BioCatch), Alon Lifshitz (Venture Partner, Blumberg Capital), Yotam Alroy (VP Bus. Dev., RoboTeam), Ron Moritz (Venture Partner, OurCrowd)",,"Blumberg Capital, OurCrowd",,,"<strong>Website: </strong><a href=""http://biocatch.com"" target=""_blank"">biocatch.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/biocatch1"" target=""_blank"">@biocatch1</a><br>
                      <br>
                               <strong> HQ:</strong> Lod, Israel<br>
                               <strong>Founded: </strong>April 2011 <br>
                               <strong>Product Demoed: </strong>Passive  Biometrics/Invisible Challenges <br>
                               <strong>Product Launch: </strong>April  2013 <br>
                               <strong>Metrics: </strong>$10M raised, 25 employees<br>
                               <strong>Presenters: </strong>Uri Rivner (Co-Founder &amp; VP, Business Development &amp; Cyber Strategy)","",http://www.finovate.com/fall14vid/biocatch.html,http://www.finovate.com/fall14vid/logos/BioCatch.jpg
GREMLN,2014,New York,Ryan Bell (CEO),,,,"New York Bankers Association, Missouri Bankers Association, Financial Marketing Solutions",,"<strong>Website: </strong><a href=""http://gremln.com"" target=""_blank"">gremln.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.gremln.com"" target=""_blank"">blog.gremln.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/GREMLN"" target=""_blank"">@GREMLN</a><br>
                      <br>
                               <strong> HQ: </strong>Saint Louis, MO<br>
                               <strong>Founded: </strong>February 2009 <br>
                               <strong>Product Demoed: </strong>GREMLN.com <br>
                               <strong>Product Launch: </strong>January 2013  (showing new features) <br>
                               <strong>Metrics: </strong>12  employees, 165,000 users<br>
                               <strong>Presenters: </strong>Ryan Bell (CEO),
                               TJ Tavares (Sr. Sales Executive)","",http://www.finovate.com/fall14vid/gremln.html,http://www.finovate.com/fall14vid/logos/GREMLN.jpg
DigitalMailer & My Virtual StrongBox,2014,New York,"Ron Daly (CEO & President), Greg Crandell, (CSO), Lenny Giambalvo (CTO)",,,,,,"<strong>Website: </strong><a href=""http://myvirtualstrongbox.com"" target=""_blank"">myvirtualstrongbox.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/MyVirtualStrong"" target=""_blank"">@MyVirtualStrong</a><br>
                      <br>
                               <strong> HQ: </strong>Herndon, VA<br>
                               <strong>Founded: </strong>May 2012<br>
                               <strong>Product Demoed: </strong>My Virtual  StrongBox<br>
                               <strong>Product Launch: </strong>May 2012<br>
                      <strong>Metrics: </strong>Available to 1.4M customers  and members, available at 16 financial institutions nationwide with over $20B  in assets<br>
                      <strong>Presenters: </strong>Ron Daly (CEO),
                      Samantha Thrift (Sales Associate)","",http://www.finovate.com/fall14vid/myvirtualstrongbox.html,http://www.finovate.com/fall14vid/logos/StrongBox.jpg
Anchor ID,2014,New York,"David W. Schropfer (CEO), David Koplovitz (Chief Product Officer)","Alexander Sanchez (COO, Goodwill Industries International), Eric Vlugt (VP Global Product Marketing, VeriFone), Peter Hazlehurst (Former Product Management Director, Google Wallet), John Cate (Engineering Director, IDT Telecom), Sandeep Bhanote (Former CEO, GlobalBay Software), Ted Grevers (System Manager, Cisco Systems)","Paul Iemma (Board of Advisors, Anchor ID)","Sandeep Bhanote (Former CEO, GlobalBay Software), Tom Luciano (Former Executive, AT&T)",,"Consumer audiences in all areas of online and mobile activity, including banking, shopping, social media and more.","<strong>Website: </strong><a href=""http://anchorid.com"" target=""_blank"">anchorid.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/AnchorID"" target=""_blank"">@AnchorID</a><br>
                      <br>
                               <strong> HQ:</strong> Kingston, NY<br>
                               <strong>Founded: </strong>January 2014 <br>
                               <strong>Product Demoed: </strong>Anchor ID <br>
                               <strong>Product Launch: </strong>September  2014 <br>
                               <strong>Metrics: </strong>Over<strong> </strong>$500,000 seed money raised, 5 employees<br>
                               <strong>Presenter: </strong>David Schropfer (CEO)","",http://www.finovate.com/fall14vid/anchorid.html,http://www.finovate.com/fall14vid/logos/AnchorID.jpg
Misys,2014,New York,"Nadeem Syed (CEO), Frank Brienzi (President & Chief Sales Officer), Rick Medlock (CFO), Tom Kilroy (Chief of Staff), Martin Häring (CMO), Boris Lipiainen (Global Head of Product Management), Robin Crewe (Global Head of Engineering & QA), Grace Van Til (Global Head of Customer Support), Balázs Vinnai (Digital Channels General Manager), Conor Colleary (SVP Global Sales), Tom Dawkins (Corporate Strategy Director), Simon Dowler (Group General Counsel), Brian Gibson (VP Partners & Ecosystem), Charlotte de Metz (Global HR Director)",,,"Misys is a private company, owned by Vista Equity Partners.","Accenture, HCL Technologies, Cognizant, Phi Partners, ITC Infotech","Misys has more than 2,000 customers in 130 countries. Misys provides the broadest fully integrated banking solution portfolio, allowing banks to embrace the needs of the customer: from branch to web to mobile and beyond. A single common platform for efficient, transparent, and flexible bilateral lending operations, trade finance powered by consistent, global capabilities to grow revenue and reduce cost, and new levels of customer insight.","<strong>Website: </strong><a href=""http://misys.com/digital"" target=""_blank"">misys.com/digital</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/MisysFS"" target=""_blank"">@MisysFS</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded: </strong>1979 <br>
                               <strong>Product Demoed: </strong>FusionBanking  Essence <br>
                               <strong>Product Launch: </strong>November  2014<br>
                               <strong>Presenters: </strong>József Nyíri (Director, Innovation &amp; Digital Channels LABS),
                               Tamás Grünzweig (VP &amp; Head of Innovation, Digital Channels LABS),
                               Viktor Balint (Head of Customer Insight &amp; Evanglisation, Digital)","",http://www.finovate.com/fall14vid/misys.html,http://www.finovate.com/fall14vid/logos/Misys.jpg
Vantiv,2014,New York,"Charles Drucker (President & CEO), Mark Heimbouch (CFO), Daniela Mielke (CPO & CSO), Matt Taylor (Integrated Payments President), Adam P. Coyle (EVP Acquisition Strategy)",,,,,,"<strong>Website: </strong><a href=""http://vantiv.com"" target=""_blank"">vantiv.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Vantiv"" target=""_blank"">@Vantiv</a><br>
                      <br>
                               <strong> HQ: </strong> Cincinnati, OH<br>
                               <strong>Founded: </strong>40 Years of Payment Processing Innovation; became  a Public Company in March 2012<br>
                               <strong>Product Demoed: </strong>TriPOS<br>
                               <strong>Product Launch: </strong>2014<br>
                      <strong>Metrics: </strong>Public Company as of March  2012 (NYSE:VNTV), 3,300 Employees,  2013 Performance: $1.17B Net Revenue and third largest merchant transaction acquirer in the USA<strong><br>
Presenters: </strong>Coy Christensen (VP Product Management),
Jesse Kunicki (Development Manager)","",http://www.finovate.com/fall14vid/vantiv.html,http://www.finovate.com/fall14vid/logos/vantiv.jpg
CR2,2014,New York,"Martin Dolan (CEO), Mike Brady (COO), Ronan Murray (CFO), Kieran Kilcullen (Sales & Marketing Director), Juan Cejudo (VP Sales MEA-LA-A), Keith Holmes (VP Product Dev.), Michael Ward (VP Consultancy Services)","Kieran Nagle (Chairman), Niall Carroll (Board Director), John Tracey (Board Director), John Fagan (Board Director), Franky Van Damme (Board Director), Ronan Murray (Board Director & CFO), Martin Dolan (Board Director & CEO), Mike Brady (Board Director & COO)",,"TVC plc, ACT Venture Capital, GIMV",,"Barclays, Standard Chartered Bank, ANZ","<strong>Website: </strong><a href=""http://cr2.com"" target=""_blank"">cr2.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/CR2_Ltd"" target=""_blank"">@CR2_Ltd</a><br>
                      <br>
                               <strong> HQ:</strong> Dublin, Ireland<br>
                               <strong>Founded: </strong>1997 <br>
                               <strong>Product Demoed: </strong>BankWorld  Money Voucher <br>
                               <strong>Product Launch: </strong>2013<br>
                      <strong>Metrics: </strong>Over 100 banks in 60  countries have adopted CR2’s solutions. CR2 has a network of well-established  offices strategically located in 6 countries: Ireland, Australia, India, South  Africa, UAE, and Jordan.<br>
                      <strong>Presenters: </strong>Kieran Kilcullen (Director, Sales &amp; Marketing),
                      Patrick Simons (Principal Consultant)","",http://www.finovate.com/fall14vid/cr2.html,http://www.finovate.com/fall14vid/logos/CR2.jpg
WingCash,2014,New York,"Bradley Wilkes (CEO, President & Founder), Steve Curtis (VP Sales & Marketing)",,,,Integrated with Micros Systems Point of Sale (POS),"Baskin-Robbins, UPS Store, Cold Stone Creamery, Edible Arrangements, Jamba Juice, Cinnabon, Rocky Mountain Chocolate Factory, Menchies, Color Me Mine, Yogurtland, Costa Vida, Gandolfo’s Deli, Sub Zero Ice Cream, Sweet Tooth Fairy","<strong>Website: </strong><a href=""http://wingcash.com"" target=""_blank"">wingcash.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.wingcash.com"" target=""_blank"">blog.wingcash.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/wingcash"" target=""_blank"">@wingcash</a><br>
                      <br>
                               <strong> HQ: </strong>Lehi,  UT <br>
                               <strong>Founded: </strong>November 2009<br>
                               <strong>Product Demoed: </strong>WingCash - US Currency in Cloud  &amp; Branded Cash in the Cloud<br>
                               <strong>Product Launch:  </strong>December 2010 – US Currency, July 2013, - Branded  Cash<br>
                               <strong>Metrics: </strong>Privately funded, 10K+  wallets<strong><br>
Presenters: </strong>Bradley Wilkes (CEO &amp; President),
Steve Curtis (VP &amp; Director, Sales),
Vilash Poovala (CTO)","",http://www.finovate.com/fall14vid/wingcash.html,http://www.finovate.com/fall14vid/logos/WingCash.jpg
SelfScore,2014,New York,"Kalpesh Kapadia (CEO & Co-Founder), Michael Hallinan (CPO & Co-Founder) Saurav Chaterjee (CTO), Pat Nicholson (CMO), Vikash Mishra (VP Engineering)",,,,"Fenway Summer, AT&T",,"<strong>Website: </strong><a href=""http://selfscore.com"" target=""_blank"">selfscore.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/selfscore"" target=""_blank"">@selfscore</a><br>
                      <br>
                               <strong> HQ: </strong>Palo  Alto, CA <br>
                               <strong>Founded: </strong>January 2012<br>
                               <strong>Product Demoed: </strong>SelfScore<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>Privately funded just under $1M with  a team of 8 experts, each with 10-20 years of industry experience ranging from  financial services (VISA, Capital One) to tech giants (Amazon, Microsoft,  VMware, Google, LinkedIn) to US military (US Cyber Command) and government (US  Treasury, Consumer Financial Protection Board) to academia (Stanford and CMU  PhD data scientists), currently have a working product undergoing a private  beta<br>
                               <strong>Presenter: </strong>Kalpesh Kapadia (CEO &amp; Co-Founder)","",http://www.finovate.com/fall14vid/selfscore.html,http://www.finovate.com/fall14vid/logos/SelfScore.jpg
Zenmonics & Diebold,2014,New York,"Riaz Syed (CEO, Zenmonics), Andy Mattes (CEO, Diebold)",,,,,Global financial institutions and financial services organizations,"<strong>Website: </strong><a href=""http://zenmonics.com"" target=""_blank"">zenmonics.com</a>  &amp; <a href=""http://diebold.com"" target=""_blank"">diebold.com</a><br>
                      <br>
                               <strong> HQ: </strong> Charlotte, NC (Zenmonics) &amp; Canton, OH (Diebold)<br>
                               <strong>Founded: </strong>2007 (Zenmonics) &amp; 1859  (Diebold) <br>
                               <strong>Product Demoed: </strong>mobileBANKER  with Enhanced In-Lobby Terminal <br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>Zenmonics  is a privately held company; Diebold is a public company with 7,000 employees  serving 600 locations.<strong><br>
Presenters: </strong>David Dye (VP Sales, Zenmonics),
Shelly Ewing (Director, New Business &amp; Solution Incubation, Diebold)","",http://www.finovate.com/fall14vid/zenmonics-diebold.html,""
LOYAL3,2014,New York,"Barry Schneider (CEO), Stephen Klein (Chief Creative Officer), Bill Blais (EVP), Jack Thrift (CFO), Matt Ho (CTO), Jeff Modisett (Chief Legal Officer), Dana Schmidt (Chief Compliance Officer), Robin Weiss (SVP Strategic Partnerships), Daniel Garzia (VP Digital Marketing), Matt Gidney (VP Corporate Marketing & Bus. Dev.), Andres Davidovits (VP Experience), Marcel Olsder (VP Engineering), Blake Schneider (VP Operations), Ramesh Ragineni (VP Technical Operations), Carl Landauer (General Counsel)","Barry Schneider (CEO, LOYAL3), Stephen Klein (Chief Creative Officer, LOYAL3), Chris Brahm (Bain & Company), Chris Kelly (Entrepreneur), Jim Hale (FTV Capital), Maggie Wilderotter (Frontier Communications), Marc Metcalf (Independent Management Consultant), Michael Pucker (Latham & Watkins)","Kay Koplovitz, Dixon Doll, Solomon D. “Sol” Trujillo","Barry Schneider (CEO, LOYAL3), Chris Kelly (Former Chief Privacy Officer, Facebook), Michael Pucker & Gigi Pritzker Pucker (DNS-L3)","AMC Entertainment Holdings, Endurance International Group, Globant, GoPro, Kate Spade, Santander Consumer USA, Trupanion",,"<strong>Website: </strong><a href=""http://loyal3.com"" target=""_blank"">loyal3.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/LOYAL3"" target=""_blank"">@LOYAL3</a><br>
                      <br>
                               <strong> HQ: </strong>San Francisco, CA<br>
                               <strong>Founded: </strong>October 2008 <br>
                               <strong>Product Demoed: </strong>LOYAL3  iOS 8 Mobile App <br>
                               <strong>Product Launch: </strong>September  2014 at FinovateFall <br>
                               <strong>Metrics: </strong>LOYAL3 has raised more than $75M in funding and has 130  employees.<br>
                               <strong>Presenters: </strong>Barry Schneider (CEO &amp; Chairman),
                               Matt Gidney (VP Corporate Marketing &amp; Business Development)","",http://www.finovate.com/fall14vid/loyal3.html,http://www.finovate.com/fall14vid/logos/LOYAL3.jpg
iBillionaire,2014,New York,"Raul Moreno (CEO & Co-Founder), Alejandro Estrada (Co-Founder)",,,"Martin Varsavsky, Alec Oxenford, NXTP Labs",Direxion Investments,,"<strong>Website: </strong><a href=""http://ibillionaire.me"" target=""_blank"">ibillionaire.me</a><br>
                  <strong>Blog: </strong><a href=""http://ibillionaireapp.tumblr.com"" target=""_blank"">ibillionaireapp.tumblr.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/ibillionaire"" target=""_blank"">@ibillionaire</a><br>
                      <br>
                               <strong> HQ: </strong> New  York, NY <br>
                               <strong>Founded: </strong>April 2013 <br>
                               <strong>Product Demoed: </strong>iBillionaire<br>
                               <strong>Product Launch: </strong>April 2013<br>
                      <strong>Metrics: </strong>With a mobile community of over 150,000  investors, offices in Buenos Aires and New York, and covered by media outlets  like Bloomberg, CNBC, and Fox Business, the iBillionaire Index has outperformed  the S&amp;P 500 since inception.<br>
                      <strong>Presenters: </strong>Raul Moreno (CEO &amp; Co-Founder),
                      Emily Stewart (Head of Communications &amp; Content Strategy)","",http://www.finovate.com/fall14vid/ibillionaire.html,http://www.finovate.com/fall14vid/logos/iBillionaire.jpg
Kabbage,2014,New York,"Robert Frohwein (CEO), Kathryn Petralia (COO), Kevin Phillips (CFO), Victoria Treyger (CMO), Andy Badstubner (CTO), Spencer Robinson (VP Data Ops), Jon Hoffmann (EVP Credit Ops), Amy Zimmerman (VP People Operations)","Robert Frohwein (CEO, Kabbage), Marc Gorlin (Chairman, Kabbage), Jonathan Ebinger (Partner, Blue Run Ventures), Bryan Stolle (General Partner, Mohr Davidow Ventures), Steve Murray (Softbank), Scott Thompson (CEO, Shoprunner), Don Butler (Thomvest Ventures)",,"BlueRun Ventures, Mohr Davidow Ventures, Thomvest Ventures, SoftBank, UPS, TCW, Lumia Capital, Warren Stephens (Stephens Inc.), David Bonderman (TPG), Tencent",,"Our key customers are all small businesses in the US who are in need of capital to grow, and consumers seeking a 3 to 5 year installment loan. Kabbage recognizes that small businesses have a more difficult time obtaining funding from traditional sources and has built a financing solution to meet their needs.","<strong>Website: </strong><a href=""http://kabbage.com"" target=""_blank"">kabbage.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.kabbage.com"" target=""_blank"">blog.kabbage.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/kabbageinc"" target=""_blank"">@kabbageinc</a><br>
                      <br>
                               <strong> HQ: </strong>Atlanta, GA <br>
                               <strong>Founded: </strong>February 2009<br>
                               <strong>Product Demoed: </strong>Karrot<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>$106M in equity<br>
                               <strong>Presenters: </strong>Rob Frohwein (CEO &amp; Co-Founder),
                               Kathryn Petralia (COO &amp; Co-Founder)","",http://www.finovate.com/fall14vid/kabbage.html,http://www.finovate.com/fall14vid/logos/Kabbage.jpg
Algomi,2014,New York,"Stu Taylor (CEO), Usman Khan (CTO), Robert Howes (COO), Michael Schmidt (Chairman), Niklas Lindberg (CCO), Stephen Gallagher (Head of US Sales)","Stu Taylor (CEO), Usman Khan (CTO), Robert Howes (COO), Michael Schmidt (Chairman), Charles Teschner (Board Member)","Hugh Willis (Former CEO, Bluebay), Grant Biggar (Former President, Creditex), Howard Edelstein (Former CEO, BondDesk)","Algomi is backed by Lakestar, Europe’s largest VC investor in social media.",SIX Swiss Exchange,"Credit sales/traders at investment banks and their buyside counterparts, globally","<strong>Website: </strong><a href=""http://algomi.com"" target=""_blank"">algomi.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/algomi_ltd"" target=""_blank"">@algomi_ltd</a><br>
                      <br>
                               <strong> HQ: </strong>London, UK<br>
                      <strong>Founded: </strong>June 2012<br>
                               <strong>Product Demoed: </strong>Honeycomb <br>
                               <strong>Product Launch: </strong>Q4 2014 <br>
                               <strong>Metrics: </strong>87  employees in London, New York, and Zurich, hundreds of registered users  globally within multiple investment banks and buyside institutions, $20M raised  to date and multimillion dollar revenues in the first year with very high  growth trajectory<br>
                  <strong>Presenters: </strong>Stu Taylor (CEO), 
                  Usman Khan (CTO)","                    <strong>How they describe themselves: </strong>As banks shift from risk to broker-like  models in fixed income, the need to manage huge volumes of sensitive information  has become paramount. Algomi enables banks to create real-time social  collaborations internally and with end investors that identify the best trade  opportunities. By harnessing the power of individual relationships between  salespeople, traders, and their clients, Algomi's scalable approach increases  trading room velocity in a liquidity constrained world.                    <p><strong>How they describe their product/innovation:</strong> Algomi’s technology collates all  information points within a bank’s credit trading business. Customized  algorithms are written and push most relevant and profitable opportunities in  real time to the appropriate salespeople within the franchise that can help  facilitate a riskless trade.</p>                    <p> Algomi’s buyside GUI, Honeycomb, enables  end investors to see which dealer is best placed to facilitate these illiquid  block trades without disturbing the market picture. Honeycomb brings client  marketing up to the standards of the best online retailing (think Amazon.com).  Honeycomb is ‘Smart Marketing’.</p>",http://www.finovate.com/fall14vid/algomi.html,http://www.finovate.com/fall14vid/logos/Algomi.jpg
MasterCard,2014,New York,"Ajay Banga (President & CEO), Ann Cairns (President International Markets), Gary Flood (President Global Products & Solutions), Ron Garrow (Chief Human Resources Officer), Martina Hund-Mejean (CFO), Chris McWilton (President North America Markets), Tim Murphy (General Counsel & Chief Franchise Officer), Rob Reeg (President Operations & Technology)",,,Please reference our Investor Relations page on Mastercard.com.,,,"<strong>Website: </strong><a href=""http://mastercard.com"" target=""_blank"">mastercard.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/MASTERCARDNEWS"" target=""_blank"">@MASTERCARDNEWS</a><br>
                      <br>
                               <strong> HQ: </strong> Purchase, NY<br>
                               <strong>Founded: </strong>1966 <br>
                               <strong>Product Demoed: </strong>MasterCard  Pay with Rewards™<br>
                               <strong>Product Launch: </strong>September  2014 <br>
                               <strong>Metrics: </strong>Please reference our 10-K on the  Investor Relations page on <a href=""http://Mastercard.com"" target=""_blank"">Mastercard.com</a>. As of December 31, 2013, we have  approximately 8,200 employees.<br>
                               <strong>Presenters: </strong>Kyle Clark (VP Product Development),
                               Chris Guiney (VP Product Development)","",http://www.finovate.com/fall14vid/mastercard.html,http://www.finovate.com/fall14vid/logos/MasterCard.jpg
Malauzai Software,2014,New York,"Tom Shen (CEO & Founder), Robb Gaynor (Chief Product Officer & Founder), Danny Piangerelli (CTO & Founder), Joe Gomez (COO), Lou Anne Moody (Chief Sales Officer), Steve Reich (Chief Partnership Officer)",,,,,,"<strong>Website: </strong><a href=""http://malauzai.com"" target=""_blank"">malauzai.com</a><br>
                  <strong>Blog: </strong><a href=""http://malauzai.com/wp/?page_id=1124"" target=""_blank"">malauzai.com/wp/?page_id=1124</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/malauzaimonkeys"" target=""_blank"">@malauzaimonkeys</a><br>
                      <br>
                               <strong> HQ: </strong>Austin, TX<br>
                               <strong>Founded: </strong>July 2009 <br>
                               <strong>Product Demoed: </strong>SmartwebApps <br>
                               <strong>Product Launch: </strong>September  2014 <br>
                               <strong>Metrics: </strong>Based  in Austin, TX, Malauzai Software has over 50 employees, 300 customers with more  than 190 live representing over 400,000 SmartApp users and 500,000 downloads.<br>
                               <strong>Presenters: </strong>Robb Gaynor (Chief Product Officer &amp; Founder),
                               Danny Piangerelli (CTO &amp; Founder),<br>
                      Craig Agulnek (Director, Product Management)","",http://www.finovate.com/fall14vid/malauzai.html,http://www.finovate.com/fall14vid/logos/Malauzai.jpg
Sender & PrivatBank,2014,New York,", Board Members & Advisory Board Members: Alexander Vityaz (Founder)",,,Alexander Vityaz (PrivatBank),PrivatBank,"PrivatBank, B2C companies","<strong>Website: </strong><a href=""http://sender.mobi"" target=""_blank"">sender.mobi</a><br>
                      <br>
                               <strong> HQ: </strong>Wilmington, DE<br>
                               <strong>Founded: </strong>November 2013<br>
                               <strong>Product Demoed: </strong>Sender.mobi<br>
                               <strong>Product Launch: </strong>September  2014 at FinovateFall<br>
                               <strong>Metrics: </strong>$1M in angel investments, 5  employees<br>
                               <strong>Presenters: </strong>Egor Avetisov (Creative Director),
                               Maria Gurina (Deputy Head of E-Commerce),<br>
                               Kristina Chaykovskaya (Head of E-Commerce)","",http://www.finovate.com/fall14vid/sender.html,http://www.finovate.com/fall14vid/logos/Sender.jpg
Matchi,2014,New York,,,,,,"To date 30 banks from around the world have signed up as Matchi members, including banks from Europe, USA, Asia, Australia, and Africa. Our current Sponsor Banks include Caixa Bank in Spain, Bank Hapoalim in Israel, and Standard Bank in Sub-Saharan Africa.","<strong>Website: </strong><a href=""http://matchi.biz"" target=""_blank"">matchi.biz</a><br>
                  <strong>Blog: </strong><a href=""http://matchi.biz/news.html"" target=""_blank"">matchi.biz/news.html</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/matchibiz"" target=""_blank"">@matchibiz</a><br>
                      <br>
                               <strong> HQ: </strong>Central, Hong Kong<br>
                               <strong>Founded: </strong>November 2013 <br>
                               <strong>Product Demoed: </strong>Matchi<br>
                               <strong>Product Launch: </strong>November  2013<br>
                               <strong>Metrics: </strong>30  Member Banks signed up since launch, 3 Sponsor Banks, New Innovations logged  daily<br>
                               <strong>Presenters: </strong>David Milligan (CEO, Matchi),
                               Warren Bond (Co-Founder, Matchi),
                               Simon Jenkins (Director, Advisory Services, KPMG)","",http://www.finovate.com/fall14vid/matchi.html,http://www.finovate.com/fall14vid/logos/Matchi.jpg
Powerlytics,2014,New York,"Kevin Sheetz (CEO & Co-Founder), Jose Plehn (Chief Research Officer & Co-Founder)","Bob Keith (CEO, TL Ventures), Peter Boni (Former CEO, Safeguard Scientifics), Ken Daly (CEO, National Association of Corporate Directors)","Bobby Mehta (Former CEO, TransUnion Corp.), Arthur Spector (Former CEO & Venture Capitalist), William Dunkelberg, Ph.D (Chief Economist, NFIB)","CME Group, Ben Franklin Technology Partners, Board Members and Advisors",,Customers include some of the largest financial and professional services companies in the world and data partners that utilize Powerlytics proprietary database,"<strong>Website: </strong><a href=""http://powerlytics.com"" target=""_blank"">powerlytics.com</a><br>
                      <br>
                               <strong> HQ: </strong>Doylestown,  PA <br>
                               <strong>Founded: </strong>April 2011<br>
                               <strong>Product Demoed: </strong>Powerlytics Lending Workbench<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>$5M raised to date, 12  employees, clients include some of the largest financial services and professional  services companies in the world<br>
                               <strong>Presenters: </strong>Kevin Sheetz (CEO &amp; Co-Founder),
                               Pat Brown (Sr. Director, Strategic Sales)","",http://www.finovate.com/fall14vid/powerlytics.html,http://www.finovate.com/fall14vid/logos/Powerlytics.jpg
Backbase,2014,New York,"Jouk Pleiter (CEO & Co-Founder), Herber de Ruijter (GM North America)","Brett King (Founder, Movenbank & Author, Bank 2.0 & Bank 3.0), Roger Peverelli (Founder, VODW & Author, Reinventing Financial Services)",,,"Accenture, Atos, CapGemini","ABB, ABN AMRO, Al Rajhi Bank, Barclays, Degroof, Deutsche Bank, Fidelity, Hapoalim Bank, Hiscox, GE, ING, Legal & General, Nationwide Bank, OTP, PostFinance, PZU, Sberbank, Swisscard, Verisk","<strong>Website: </strong><a href=""http://backbase.com"" target=""_blank"">backbase.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.backbase.com"" target=""_blank"">blog.backbase.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/backbase"" target=""_blank"">@backbase</a><br>
                      <br>
                               <strong> HQ:</strong> New  York, NY <br>
                               <strong>Founded: </strong>April 2013<br>
                               <strong>Product Demoed: </strong>Backbase Engage &amp; Backbase  Marketplace<br>
                               <strong>Product Launch: </strong>September  2014<br>
                               <strong>Metrics: </strong>Privately funded, 200+ employees,  offices in New York, Atlanta, Amsterdam, London, Singapore, and Moscow<br>
                               <strong>Presenters: </strong>Peter Chapman (Fintech Strategist),
                               Jelmer de Jong (Global Head of Marketing)","",http://www.finovate.com/fall14vid/backbase.html,http://www.finovate.com/fall14vid/logos/Backbase.jpg
