Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Image
ID.me,2014,Spring,"Blake Hall, Matthew Thompson, Holly Tennant, William Kern, Ryan Fox, Tony Huynh, Aaron Tiffany","Kelly Perdew, Blake Hall, Alex Perwich, Victor Pascucci, Thomas Pouliot","Youngme Moon, Catherine Tilton, Patrick Ravenel, Oded Noy","USAA, David Tisch, Kelly Perdew, K Street Capital, Blu Venture Investors","A Fortune 100 financial institution, major payment players","Sears Holdings, Under Armour, Overstock.com, Sam's Club, Tough Mudder, WWE, Carhartt, Washington Nationals","<strong>Website: </strong><a href=""http://ID.me"" target=""_blank"">ID.me</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@IDme"" target=""_blank"">@IDme</a><br>
                      <br>
                               <strong> HQ: </strong>Tyson's Corner,  VA<br>
                               <strong>Founded:</strong> February 2010<br>
                               <strong>Product Demoed:</strong> ID.me<br>
                               <strong>Product Launch:</strong> April 2014<br>
                               <strong>Metrics:</strong> Financing: $16M, Federal Grants: $2.8M, Employees: 29, Revenues  (Run Rate): $4M, Registered Users: 475,000<br>
                  <strong>Presenters: </strong>Blake Hall (CEO &amp; Co-Founder),
                  Ryan Fox (VP Product Strategy)","                    <strong>How they describe themselves: </strong>ID.me is a  digital identity network that empowers individuals to prove their identity and  group affiliations while controlling how their information is shared online.  ID.me's platform connects to authoritative databases so that individuals can verify  truths about themselves when they wish them to be known. As a result, ID.me’s  network empowers organizations to extend special promotions to specific  affinity groups without fear of fraud. In July 2013, the Department of Commerce  selected ID.me as one of the top five identity products in America and awarded  the company a $2.8 million grant. Today, ID.me provides retailers and companies  in the payments value chain with loyalty and marketing solutions.                    <p><strong>How they describe their product/innovation:</strong> ID.me enables consumers to  tie authoritatively verified identity attributes (e.g. Military, Student,  Teacher, Corporate Employee, Membership Group) to a medium of payment in order  to eliminate the need for additional loyalty or identity credentials at  checkout. Through partnerships with major players in the payments space, ID.me  provides brands with an omnichannel solution that captures the identity  attributes of their customers in a privacy-enhancing, user-centric manner.</p>",http://www.finovate.com/spring14vid/id.html,http://www.finovate.com/spring14vid/logos/IDme.jpg
Endeavour,2014,Spring,"Avinash Misra (CEO & Co-Founder), Vinay Shukla (Co-Founder & President), Rahul Aggarwal (Co-Founder & Managing Director), Steven Staley (Director of Banking Practice)","Vinay Shukla (President of Global Sales), Avinash Misra (CEO), Rahul Aggarwal (Managing Director), Manish Garg (COO), Rajeev Srivastava (Board Member & Investor)",,Basil Investments,"Zoot, Jumio, Vasco, Mitek, Xamarin, OnRamp, Kony","Frost Bank, AIG, Tesco, Cornerstone, Solution Star, IW Bank, RMB, SAC Capital Markets","<strong>Website: </strong><a href=""http://techendeavour.com"" target=""_blank"">techendeavour.com</a><br>
                  <strong>Blog: </strong><a href=""http://techendeavour.com/blog"" target=""_blank"">techendeavour.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/@mobilitycompany"" target=""_blank"">@mobilitycompany</a><br>
                      <br>
                               <strong> HQ: </strong>Austin, TX<br>
                               <strong>Founded:</strong> February 2008<br>
                               <strong>Product Demoed:</strong> MobileAO - Mobile Account Opening Solution<br>
                               <strong>Product Launch</strong>: April 2014<br>
                               <strong>Metrics:</strong> Endeavour is a privately held company with offices in Austin, London,  Bangalore, and Singapore. Backed by Singapore-based private equity firm  Basil Partners, Endeavour employs over 300 employees across four countries.<br>
                    <strong>Presenters: </strong>Steven Staley (Director of Banking &amp; Strategic Alliances,  Endeavour),
                    Tom Johnson (VP Strategic Alliances, Zoot),
                    Alex Johnson (Marketing Specialist, Zoot)","                    <strong>How they describe themselves: </strong>Endeavour is an  exclusive Mobility Integrator with a focus on building secure  and compliant mobile solutions across several industries including banking,  capital markets, and insurance. Endeavour recently launched a mobile banking program  with a powerful set of capabilities, strategic alliances, and thought leadership  to deliver strategic consulting services, mobile UI &amp; UX design, mobile  application development, and mobile enterprise integration services to our  largest financial services customers. Founded in 2002, Endeavour is now a CMMi  level 3 company, is backed by a leading private equity firm, and employs 300+  mobility experts across Austin, London, Bangalore, and Singapore.                    <p><strong>How they describe their product/innovation:</strong> Endeavour has partnered with  Zoot and Jumio to create a best-of-breed mobile account-opening solution ­− MobileAO.  This unique, powerful, and flexible solution is capable of meeting  the complex and evolving business requirements of large financial  institutions regarding security, ID verification, and risk management; all  while delivering a simple and intuitive mobile experience to the customer.  Endeavour has integrated Jumio’s innovative ID validation and prefill  capability along with Zoot’s real-time decision engine into a single mobile  application and web portal, which empowers banks to open new deposit and credit  accounts seamlessly and instantaneously.</p>",http://www.finovate.com/spring14vid/endeavour.html,http://www.finovate.com/spring14vid/logos/Endeavour.jpg
Pellucid Analytics,2014,Spring,"Adrian Crockett (CEO & Co-Founder), Jamie Ballingall (Chief Scientist & Co-Founder), Dustin Whitney (CTO), Eric Rattner (Chief Content Officer), Jennifer Giacobbe (Chief Customer Officer)",,,"Founders, Angel Investors",,,"<strong>Website: </strong><a href=""http://pellucid.com"" target=""_blank"">pellucid.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@pellucidapp"" target=""_blank"">@pellucidapp</a><br>
                      <br>
                               <strong> HQ: </strong>Boulder, CO<br>
                               <strong>Founded:</strong> November 2011<br>
                               <strong>Product  Demoed:</strong> Pellucid<br>
                               <strong>Product  Launch:</strong> April 2014<br>
                               <strong>Metrics:</strong> 39 team members<br>
                  <strong>Presenters: </strong>Adrian Crockett (CEO &amp; Co-Founder),
                  Jamie Ballingall (Chief Scientist &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>Some finance professionals  (e.g., traders) can make decisions alone. Many other advisory professionals need  to convince their clients of the merits of a trade or deal. They are selling an  idea and these ideas are physically represented by pitchbooks. Pellucid  Analytics is revolutionizing both senior and junior advisory professional  workflows. Junior advisory professionals are freed from spreadsheet, data, and  chart wrangling. Senior advisory professionals have immediate visual access to  a broad and deep chart gallery to support ideation, hypothesis testing, and  narrative construction.                    <p><strong>How  they describe their product/innovation:</strong> Pellucid fixes pitchbook creation. It is a tablet and  browser-based product tailored to the needs of advisory professionals that  compresses the time required to perform a broad range of pitchbook-related  activities from days to seconds. Rather than collecting data, running  analytics, designing charts, and formatting slides, Pellucid users leverage a  large gallery of print-ready charts populated with current data and formatted  to firm-specific branding standards. Assembling such charts into a pitchbook is  a simple drag-and-drop exercise. As a result, users can focus on applying  judgment to information and crafting a compelling message directly relevant to  their clients.</p>",http://www.finovate.com/spring14vid/pellucid.html,http://www.finovate.com/spring14vid/logos/Pellucid.jpg
Coinbase,2014,Spring,"Brian Armstrong (CEO & Co-Founder), Fred Ehrsam (President & Co-Founder), Martine Niejadlik (Chief Compliance Officer), Todd Edebohls (VP Business Development & Sales)",,,"Andreessen Horowitz, Union Square Ventures, Ribbit Capital, Y Combinator","Square, Balanced Payments, Revel Systems","Coinbase enables bitcoin payments for over 28,000 merchants including Overstock.com, OKCupid, Reddit, and Khan Academy.","<strong>Website: </strong><a href=""http://coinbase.com"" target=""_blank"">coinbase.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.coinbase.com"" target=""_blank"">blog.coinbase.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@coinbase"" target=""_blank"">@coinbase</a><br>
                      <br>
                               <strong> HQ: </strong>San Francisco, CA<br>
                               <strong>Founded:</strong> July 2012<br>
                               <strong>Product  Demoed:</strong> Instant exchange <br>
                               <strong>Product  Launch:</strong> February 2014<br>
                               <strong>Metrics:</strong> Coinbase holds 1.1 million consumer  wallets and enables 28,000 merchants to accept bitcoin payments. The company is  funded by Andreessen Horowitz, Union Square Ventures, and Y Combinator.<br>
                  <strong>Presenters: </strong>Roger Gu (Business Development Manager),
                  Nahid Samsami (Business Development Manager)","                    <strong>How they describe themselves: </strong>Coinbase is the largest  bitcoin platform for merchant payment processing and consumer wallets. We allow  merchants to accept bitcoin payments safely and securely without exposure to  price volatility.                    <p><strong>How  they describe their product/innovation:</strong> Our instant-exchange feature offers bitcoin payments to  merchants with zero exchange rate risk.  As a merchant receives bitcoin payments throughout  the day, they can instantly sell these bitcoins to Coinbase at a market  exchange rate that was locked-in at the time of the customer’s purchase. At the  end of each day, Coinbase will clear the USD sum total of all sales via ACH  transfer. The merchant is therefore not exposed to bitcoin exchange rate  volatility and will receive a dollar value, less our 1% exchange fee, that  corresponds to the USD sale price of items purchased by bitcoin-paying  customers.</p>",http://www.finovate.com/spring14vid/coinbase.html,http://www.finovate.com/spring14vid/logos/Coinbase.jpg
LendUp,2014,Spring,"Sasha Orloff (CEO & Co-Founder), Jacob Rosenberg (CTO & Co-Founder)",,,"Google Ventures, Y-Combinator, Yuri Milner's Startfund, Data Collective, Andreessen Horowitz, Kleiner Perkins, Kapor Capital, Thomvest Ventures, Susa Ventures, SV Angel",,"LendUp exists for the 14 million people who banks and credit unions can’t approve, so they turn to Payday Lending. LendUp creates a transparent solution for them to access and build credit.","<strong>Website: </strong><a href=""http://lendup.com"" target=""_blank"">lendup.com</a><br>
                  <strong>Blog:</strong> <a href=""http://lendup.com/blog/"" target=""_blank"">lendup.com/blog</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@LendUpLoans"" target=""_blank"">@LendUpLoans</a><br>
                      <br>
                               <strong> HQ: </strong>San Francisco, CA<br>
                               <strong>Founded:</strong> November 2011<br>
                               <strong>Product  Demoed:</strong> LendUp<br>
                               <strong>Product  Launch:</strong> FinovateSpring  2014<br>
                               <strong>Metrics:</strong> $20M raised from Y-Combinator, Google  Ventures, QED Investors, Data Collective, Andreessen Horowitz, Kleiner Perkins,  Kapor Capital, Thomvest Ventures, SV Angel &amp; Startfund<br>
                  <strong>Presenters: </strong>Sasha Orloff (CEO &amp; Co-Founder),
                  Jacob Rosenberg (CTO &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>LendUp is a socially  responsible lender that offers a safe alternative to consumers who banks and  credit unions decline. The LendUp Ladder changes the dynamics of the small  dollar loan; rather than being a dangerous first step into a cycle of debt, it  becomes an opportunity to learn good financial behavior and build credit  through education, gamification, and a transparent fee structure.                    <p><strong>How  they describe their product/innovation:</strong> LendUp is proud to enable partners to leverage the first  RESTful API Lending Platform. We have exposed the same core platform that has  built and launched LendUp's diverse suite of consumer lending products and channels  – a fully compliant mobile, web, or custom integration for consumer lending  with a focus on market solutions to subprime or payday lending.<br>                        <br>                      On your site or ours, your imagination is now the bottleneck, not the  technology. Now there is no excuse not to offer credit to all of your customers  – Banks, Credit Unions, Connected POS, Connected ATMs, Affiliates, Community  Groups, Non-Profits, and Governments.<br>  <br>                      What can you think of? Simply reach out to partnerships@lendup.com to  learn more.</p>",http://www.finovate.com/spring14vid/lendup.html,http://www.finovate.com/spring14vid/logos/LendUp.jpg
Yseop,2014,Spring,"John Rauscher (CEO), Elizabeth Farabee (VP Marketing), Matthew Kropp (Director of Sales & Marketing)","John Rauscher (CEO, Yseop), Alain Kaeser (President & CSO, Yseop), Olivier Bonnet (CFO, Yseop), Jacques Habib (Former EVP, Accenture)","John Rauscher (CEO, Yseop), Alain Kaeser (President & CSO, Yseop), Olivier Bonnet (CFO, Yseop), Jacques Habib (Former EVP, Accenture)","John Rauscher (CEO, Yseop & business angel)","Accenture, Kurt Salmon","Currently in production with over 30,000 users across all industries. Largest customer in production is a retail bank with 12,500 daily users.","<strong>Website: </strong><a href=""http://yseop.com"" target=""_blank"">yseop.com</a><br>
                  <strong>Blog:</strong> <a href=""http://yseop.com/blog"" target=""_blank"">yseop.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@yseopAI"" target=""_blank"">@yseopAI</a><br>
                      <br>
                               <strong> HQ: </strong>Dallas, Texas (U.S. HQ); Lyon,  France (European HQ); offices in New York, London &amp; Paris<br>
                               <strong>Founded:</strong> First commercialized as a stand-alone  product in Europe at the end of 2008<br>
                               <strong>Product  Demoed:</strong> YseMail  (“Easy-Mail”) &amp; Yseop Sales Force Productivity (YSF) Suite<br>
                               <strong>Product  Launch:</strong> April 2014 (in  the United States)<br>
                      <strong>Metrics:</strong> Privately self-funded. Over 20 years of  research. 35 employees. 30 large customers with 20,000 users in production  daily in the banking &amp; insurance industries.<br>
                  <strong>Presenters: </strong>Elizabeth Farabee (VP Marketing),
                  Matt Rauscher (Consultant)","                    <strong>How they describe themselves: </strong>Yseop is a Smart Machine  based on Artificial Intelligence (AI) and Natural Language Generation (NLG),  which writes intelligent text just like a human being, but at a speed of  thousands of pages per second. Yseop boosts productivity in the financial  industry, drives sales, and transforms financial advisors into instant experts  without additional training. Yseop turns Big Data into comments and actionable  insights by instantly writing any type of report (such as executive summaries,  fact sheets, stock profiles, investment, earnings reports, etc.) in real time  and in multiple languages (currently in English, Spanish, French, German, etc.).                    <p><strong>How  they describe their product/innovation:</strong> Yseop Sales Force Productivity Suite (YSF) and its email  writing application, called “YseMail” (“Easy-Mail”), is an integrated sales  performance boosting solution to be plugged into a CRM, which supports the  financial advisor throughout the sales cycle. YSF analyzes customer data,  dialogs intelligently with the advisor or customer to gather contextual data,  and produces written conclusions such as pre- and post-meeting summaries,  personalized marketing communications, and prep-to-meeting documents in less  than a second.</p>",http://www.finovate.com/spring14vid/yseop.html,http://www.finovate.com/spring14vid/logos/Yseop.jpg
SaveUp,2014,Spring,"Priya Haji (CEO & Co-Founder), Sammy Shrebati (CTO & Co-Founder)",,,"Blue Run Ventures, True Ventures","Huffington Post, Paypal, multiple CU partners, employer benefits and student loan partners not yet announced.",,"<strong>Website: </strong><a href=""http://saveup.com"" target=""_blank"">saveup.com</a><br>
                  <strong>Blog:</strong> <a href=""http://saveup.com/blog"" target=""_blank"">saveup.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@playsaveup"" target=""_blank"">@playsaveup</a><br>
                      <br>
                               <strong> HQ: </strong>San Francisco,  CA<br>
                               <strong>Founded</strong>: April 2011<br>
                               <strong>Product Demoed:</strong> SaveUp Application<br>
                               <strong>Product Launch:</strong> November 1, 2011<br>
                               <strong>Metrics:</strong> The average user links 6 - 8 accounts, and of these 20% are daily  actives and 60% are monthly active users.<br>
                  <strong>Presenters: </strong>Priya Haji (CEO &amp; Co-Founder),
                  Sammy Shreibati (CTO &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>SaveUp is a  financial services leader engaging Millennials and Gen Y in personal finance  through the use of positive behavioral economics and gamification.  SaveUp’s “gummy vitamin” approach to  financial services is working to help consumers rebuild millions of dollars in  savings and reduce debt post-recession. With application in financial services  such as banks, credit unions, and PayPal, as well as in the student loan and  employer markets, SaveUp is demonstrating that helping consumers succeed  financially can be great business for everyone.                    <p><strong>How they describe their product/innovation:</strong> SaveUp is the first rewards  program for saving money and reducing debt with the opportunity to win  life-changing prizes and merchant-funded rewards. SaveUp is the “gummy vitamin”  of personal finance generating unprecedented engagement with personal finance  among Millennials. Six months after signing up, the average user links 6 - 8  accounts, and of these 20% are daily active users and 60% monthly actives. SaveUp  users are engaged to learn about new financial products, seek financial  guidance from CFPs, access financial education, and make better financial  decisions. Personalization is based on data. SaveUp is a highly flexible, customizable  platform that drives engagement and retention in different financial service  verticals. SaveUp is premiering the iPhone app at FinovateSpring 2014.</p>",http://www.finovate.com/spring14vid/saveup.html,http://www.finovate.com/spring14vid/logos/SaveUp.jpg
ZenPayroll,2014,Spring,"Joshua Reeves (CEO & Co-Founder), Tomer London (CPO & Co-Founder), Edward Kim (CTO & Co-Founder)","Hemant Taneja (General Catalyst), ZenPayroll Founders","Hemant Taneja (General Catalyst), Randy Komisar (Kleiner Perkins Caufield & Byers), and investors: zenpayroll.com/investors","Kleiner Perkins Caufield & Byers, General Catalyst Partners, Google Ventures, Salesforce, Jeremy Stoppelman (CEO, Yelp), Aaron Levie (CEO, Box), David Sacks (CEO, Yammer), Drew Houston (CEO, Dropbox), and more: zenpayroll.com/investors","Intuit, Xero, FreshBooks",We’ve processed hundreds of millions of payroll dollars for small businesses of all kinds – from flower shops to dentist offices to our fellow tech startups here in Silicon Valley.,"<strong>Website: </strong><a href=""http://zenpayroll.com"" target=""_blank"">zenpayroll.com</a><br>
                  <strong>Blog:</strong> <a href=""http://zenpayroll.com/blog"" target=""_blank"">zenpayroll.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@ZenPayroll"" target=""_blank"">@ZenPayroll</a><br>
                      <br>
                               <strong> HQ: </strong>San  Francisco, CA <br>
                               <strong>Founded: </strong>October 2011 <br>
                               <strong>Product Demoed: </strong>ZenPayroll<br>
                               <strong>Product Launch: </strong>December  2012<br>
                      <strong>Metrics: </strong>$26.1M in funding raised to date, processing  over $500M in annual payroll<br>
                  <strong>Presenters: </strong>Joshua Reeves (CEO &amp; Co-Founder)","                    <strong>How they describe themselves: </strong>ZenPayroll  is modern, delightful payroll. Our mission is to make payroll as simple and  intuitive as possible using the principles of modern software. The payroll  market today is filled with unnecessary layers of complexity, manual tasks, and  numerous fees – we built ZenPayroll to fix this. Customers can run payroll in  minutes from any connected device. All government payroll reporting is done  automatically and paperlessly, providing the easiest way for business owners to  manage payroll taxes and compliance. We’re processing half a billion dollars in  annual payroll for small businesses of all kinds.                    <p><strong>How they describe their product/innovation:</strong> Payday is a  special moment; it’s a chance for business owners to thank people for their  contributions and for employees to feel appreciated. Compensation today is an  impersonal, transactional event. Our team is unearthing the human side of  compensation currently buried under layers of complexity and government  bureaucracy. Payroll should be about people, not payments. At FinovateSpring,  ZenPayroll is unveiling how payroll software can empower employees and help  business owners build stronger teams.</p>",http://www.finovate.com/spring14vid/zenpayroll.html,http://www.finovate.com/spring14vid/logos/ZenPayroll.jpg
MShift,2014,Spring,,,,,,,"<strong>Website: </strong><a href=""http://mshift.com"" target=""_blank"">mshift.com</a><br>
                      <br>
                               <strong> HQ: </strong>Fremont, CA<br>
                               <strong>Founded:</strong> January 1999<br>
                               <strong>Product  Demoed: </strong>AnyWhereMobile<br>
                               <strong>Product  Launch:</strong> August  2014<br>
                  <strong>Presenters: </strong>Jeff Chen (VP Business Development),
                  Alan Finke (VP Engineering &amp; Development)","                    <strong>How they describe themselves: </strong>MShift has been providing  mobile banking and payment solutions to US merchants and financial institutions  since 1999. With customers across North America, we provide mobile solutions  that help consumers make purchases and manage their finances.                    <p><strong>How  they describe their product/innovation:</strong> AnyWhereMobile is a mobile payment network that will  reverse the trend of Durbin and stabilize debit card margins for issuers while  reducing interchange for merchants by 50%. AnyWhereMobile issuers will benefit  from increased transaction volume, as merchants will be incentivized to steer a  consumer’s tender choice to AnyWhereMobile. Our innovation creates a  win-win-win for financial institutions, merchants, and consumers by  fundamentally reducing the cost of a payment and passing the savings on to all  three parties. AnyWhereMobile payments are authorized and secured at the point  of sale in real time and have no dependency on any static card numbers.</p>",http://www.finovate.com/spring14vid/mshift.html,http://www.finovate.com/spring14vid/logos/MShift.jpg
Fiserv,2014,Spring,"Jeffery W. Yabuki (CEO, President & Director), Thomas J. Hirsch (CFO, EVP & Treasurer), Mark A. Ernst (COO & EVP), Rahul Gupta (EVP & Group President of Digital Solutions), Lynn S. McCreary (EVP & General Counsel), Shawn M. Donovan (EVP & Chief Sales Officer), Kevin P. Gregoire (Group President of Financial Institutions), Kevin P. Pennington (EVP Human Resources), Clifford A. Skelton (Group President of Enterprise Technology), Steve Tait (EVP & Group President of International), Byron C. Vielehr (Group President of Depository Institution Services)","Jeffery W. Yabuki (Director), Christopher M. Flink (Director), Donald F. Dillon (Chairman), Daniel P. Kearney (Director), Dennis F. Lynch (Director), Denis J. O’Leary (Director), Glenn M. Renwick (Director), Kim M. Robak (Director), Doyle R. Simons (Director), Thomas C. Wertheimer (Director)",,,,,"<strong>Website: </strong><a href=""http://fiserv.com"" target=""_blank"">fiserv.com</a><br>
                  <strong>Blog:</strong> <a href=""http://fiserv.com/the-point.htm"" target=""_blank"">fiserv.com/the-point.htm</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@Fiserv"" target=""_blank"">@Fiserv</a><br>
                      <br>
                               <strong> HQ: </strong>Brookfield,  WI<br>
                               <strong>Founded:</strong> July 1984<br>
                               <strong>Product Demoed:</strong> Mobiliti™<br>
                               <strong>Product Launch:</strong> Extension of existing product  capabilities<br>
                      <strong>Metrics:</strong> $4.81B revenue in 2013, 21,000 associates worldwide, 14,500  financial institutions and business clients worldwide<br>
                  <strong>Presenters: </strong>Andrew Barnett (Sr. Mobile Solutions Consultant),
                  Gregory Jones (User Experience Architect)","                    <strong>How they describe themselves: </strong>Fiserv, Inc. (NASDAQ: FISV) is a leading global provider of  information management and electronic commerce systems for the financial  services industry, providing integrated technology and services that create  value and results for our clients. Fiserv drives innovations that transform  experiences for more than 14,500 clients worldwide.                    <p><strong>How they describe their product/innovation:</strong> The Mobiliti™  mobile banking and payments solution from Fiserv currently offers ubiquitous  alerts and notifications through in-session messages, secure messages, e-mail,  SMS, and push notifications. This new innovation extends notifications and  actionable alerts to wearable computing devices, allowing the user to receive  alerts wherever they are, on whatever device they prefer, and to take action on  it.</p>",http://www.finovate.com/spring14vid/fiserv.html,http://www.finovate.com/spring14vid/logos/Fiserv.jpg
Insuritas,2014,Spring,"Jeffrey Chesky (CEO & Founder), David Birkins (CFO)","Jeffrey Chesky, Robert Sargent, Sam Hanmer, Jim Byrne",,"Jeffrey Chesky, Tennant Capital, Brian Harrigan, undisclosed private investors",,"BancorpSouth ($16B assets), OnPoint Community Credit Union ($3.5B assets), 70+ Financial Institutions (average assets of $1B), Overstock.com","<strong>Website: </strong><a href=""http://insuritas.com"" target=""_blank"">insuritas.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.insuritas.com"" target=""_blank"">blog.insuritas.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@Insuritas"" target=""_blank"">@Insuritas</a><br>
                      <br>
                               <strong> HQ: </strong>East Windsor,  CT<br>
                               <strong>Founded:</strong> 1998<br>
                               <strong>Product Demoed:</strong> SmartCART Technology™<br>
                               <strong>Product Launch:</strong> April 2014<br>
                      <strong>Metrics:</strong> Founded 1998, $10M Series A raise in Q2 2012 from private investors, 60  FTE, $18M+ in sales in 2014, 70+ bank &amp; credit union partners, launched on  Overstock.com, 2M+ per month free product impressions, $1.4M supporting sales  per month, 76% of product sales revenue renews YOY<br>
                  <strong>Presenters: </strong>Jeffrey Chesky (CEO),
                  Matthew Chesky (SVP)","                    <strong>How they describe themselves: </strong>Insuritas  delivers virtual private-label insurance agencies that are completely  integrated into bank, credit union, and ecommerce technology platforms. E-InsuranceAISLE™,  launched in Q3 2013, is integrated inside financial institutions' online  banking ecosystems and is generating over 2 million free product impressions  per month and growing over 10% per month. LoanINSURE™ automatically generates  insurance quotes from competing carriers when customers apply for a car, home, or  small business loan. Insuritas is a revolutionary ecommerce solution monetizing  online banking services, repositioning insurance distribution to be consumer  facing and frictionless, producing critical annuitizing non-cyclical fee income,  and transforming bank websites from brochureware into ecommerce engines.                    <p><strong>How they describe their product/innovation:</strong> The SmartCART Technology™  platform allows millions of online banking customers to access a supermarket  for financial products entirely inside a bank’s online ecosystem. SmartCART  provides the same shop, compare, buy, single-checkout, and post-sale online  account management experience as Amazon.com but features consumer and small  business insurance products from multiple carriers who use SmartCART to compete  on coverage. SmartCART features buy online, instant issue, online fulfillment  for all purchases, takes a single payment from the consumer, reconciles to all  carriers providing coverage, and creates an online ""Insurance Account""  that is available to the customer through the bank’s or e-tailer’s web portal.</p>",http://www.finovate.com/spring14vid/insuritas.html,http://www.finovate.com/spring14vid/logos/Insuritas.jpg
IntelliResponse,2014,Spring,"David Lloyd (CEO), Sue Fox (CFO), Mike Minelli (VP Sales), Mike Hennessy (VP Marketing), Paul Smith (VP Products & Services), Jon Barnett (VP Technology)",,,,"Salesforce, Liveperson, Teletech, WalkMe, Novo1",IntelliResponse Virtual Agents are found in more than 450 deployments across over 150 of the most recognized brands. We have a particular focus on the financial services industry including retail banking and credit unions.,"<strong>Website: </strong><a href=""http://intelliresponse.com"" target=""_blank"">intelliresponse.com</a><br>
                  <strong>Blog:</strong> <a href=""http://intelliresponse.com/blog"" target=""_blank"">intelliresponse.com/blog</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@IntelliResponse"" target=""_blank"">@IntelliResponse</a><br>
                      <br>
                               <strong> HQ: </strong>Toronto, ON, Canada<br>
                               <strong>Founded:</strong> 2000<br>
                               <strong>Product  Demoed:</strong> VOICES and  OFFERS<br>
                               <strong>Product  Launch:</strong> June 2013 &amp;  April 2014<br>
                               <strong>Metrics:</strong> 75 employees, 450+ live customer-facing  implementations<br>
                  <strong>Presenters: </strong>David Lloyd (CEO &amp; President),
                  Paul Smith (VP Product &amp; Services)","                    <strong>How they describe themselves: </strong>IntelliResponse provides  virtual-agent technology solutions for the enterprise. We create profitable  online conversations for our private and public sector customers around the  world. Our patented Virtual Agent solutions transform corporate websites,  mobile applications, social media channels, and agent desktops into world-class  self-service platforms. Using IntelliResponse, consumers can ask questions  using natural language and get instant, accurate answers as well as targeted  offers that lead them down the purchase path and improve conversion. What’s  more, the key voice of the customer’s insight is captured in natural language  allowing companies to build highly detailed customer profiles over time.                    <p><strong>How they describe their product/innovation:</strong> VOICES is the first and only  Voice-of-the-Customer technology designed to help enterprises visualize and  derive actionable insight from customer questions posed on digital channels.  VOICES captures and automates authentic Voice-of-the-Customer data from client  interactions across web, mobile, agent, and social channels and transforms it  into a collection of customer insights.</p>                    <p>OFFERS  turbocharges the online offers approach by increasing the precision and  relevance of targeted offers, resulting in increased conversion in orders of  magnitude not possible with traditional approaches. When a customer asks a  question via our virtual agent, in addition to getting the one right answer,  the customer also receives the one right offer.</p>",http://www.finovate.com/spring14vid/intelliresponse.html,http://www.finovate.com/spring14vid/logos/IntelliResponse.jpg
ChiaraMail,2014,Spring,"Robert Uomini (CEO & President), David Head (CMO)",,,,,,"<strong>Website: </strong><a href=""http://chiaramail.com"" target=""_blank"">chiaramail.com</a><br>
                  <strong>Blog: </strong><a href=""http://chiaramail.com/blog"" target=""_blank"">chiaramail.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@chiaramail"" target=""_blank"">@chiaramail</a><br>
                      <br>
                               <strong> HQ: </strong>San Francisco, CA<br>
                               <strong>Founded:</strong> November 2012<br>
                               <strong>Product  Demoed:</strong> ChiaraMail<br>
                               <strong>Product  Launch:</strong> April 2014<br>
                  <strong>Presenters: </strong>David Head (CMO), 
                  Robert Uomini (CEO)","                    <strong>How they describe themselves: </strong>ChiaraMail offers the first  technology to protect all your financial services customers from becoming  victims of email address spoofing, while providing them and your business with  easy-to-implement and unprecedented in-transit email privacy without the use of  encryption.<br>                        <br>                      ChiaraMail technology detects spoofed email messages sent to your customers'  devices and prevents them from appearing as if they came from your company,  thereby assuring your customers that a message that claims to be from you is  actually from you.<br>  <br>                      Reduce identity theft and increase revenue and trust with a more direct and  secure connection to your banking customer using ChiaraMail.                      <p><strong>How  they describe their product/innovation: </strong>ChiaraMail fully secures email, virtually eliminating  identity theft through spoofing. ChiaraMail's patented and award-winning Envelope-Content  Splitting™ (ECS) technology authenticates both the email sender and  recipient(s) as well as ensures that no one except the intended recipients(s)  can access the content, all without having to use encryption.<br>                        <br>                      ECS-enabled mail applications also gain significant and unique functionality.  The applications allow changes to the email after it has been sent, virtually  unlimited sizes of attachments, inline video, and greater mail network  efficiency for enterprises.<br>  <br>                      Financial services businesses can have highly secure communications with their  customers without threat of spoofing or the hassle of encryption.</p>",http://www.finovate.com/spring14vid/chiaramail.html,http://www.finovate.com/spring14vid/logos/ChiaraMail.jpg
